Hugo_Symbol,BAG1,BCL2,BIRC5,CCNB1,ERBB2,ESR1,GRB7,MKI67,MMP11,MYBL2,PGR
TCGA-A2-A25D-01,0.897,-0.2779,0.4784,-0.0773,0.1712,-0.1517,0.2593,-0.3243,-0.7875,0.1915,-1.2883
TCGA-A2-A25E-01,0.062,1.2794,0.5567,-0.1452,-0.1042,0.4397,-0.469,0.346,0.3978,0.7895,0.7168
TCGA-A2-A25F-01,-1.0832,-0.0279,0.635,0.7645,-2.0008,-1.4164,-2.0813,1.2711,-1.1282,0.7152,-0.8461
TCGA-A2-A3KC-01,0.5526,0.0562,-0.4688,-0.1226,0.5908,0.4887,0.7207,0.3786,0.7332,-0.1855,0.7143
TCGA-A2-A3KD-01,0.8345,-0.692,-0.4272,-0.3082,0.102,0.6698,-0.4845,0.1371,-1.8309,-0.3977,0.7512
TCGA-A2-A3XS-01,-0.0129,-0.9594,0.8464,-0.1432,-0.2017,-2.1877,0.9854,0.2718,0.4273,0.9684,-1.2985
TCGA-A2-A3XT-01,-0.0108,-1.7868,1.8095,1.1665,-1.7308,-0.5322,-1.1022,0.707,-1.4872,0.9734,-1.4005
TCGA-A2-A3XU-01,0.5125,-2.9775,1.5675,1.8873,-0.8855,-1.3053,-0.1668,-0.6373,-2.1464,0.4574,-1.5966
TCGA-A2-A3XV-01,0.2283,-2.5662,1.7548,0.1841,1.5118,-2.9448,0.9947,-0.5745,0.2417,0.5776,-1.5952
TCGA-A2-A3XW-01,1.624,0.3438,-0.6013,-1.3007,0.2101,-0.3189,0.5119,-0.9084,-0.2675,-0.4595,-0.311
TCGA-A2-A3XX-01,-1.352,-1.0101,0.8984,0.8477,-0.0797,-1.9721,1.1339,0.3969,0.1875,1.2308,-1.1128
TCGA-A2-A3XY-01,-0.6357,-0.7181,0.2695,0.2161,-0.6382,-1.8268,-0.6024,2.0437,0.9682,0.6981,-0.732
TCGA-A2-A3XZ-01,0.2521,-1.1361,0.7847,0.2305,3.1301,-1.669,3.1739,0.0942,-0.321,0.4312,-0.7971
TCGA-A2-A3Y0-01,0.1324,-2.0965,1.7001,1.5613,-1.1768,-0.769,-0.2127,0.8465,-0.231,1.5544,-1.7466
TCGA-A2-A4RW-01,-0.0728,0.2075,-1.299,-1.7548,0.268,0.1808,-0.2582,-0.8394,1.2172,-0.1697,0.7886
TCGA-A2-A4RX-01,-0.1527,-0.7259,-0.6445,0.3503,-0.3515,-1.3373,0.2593,-0.0997,1.0125,0.2295,-0.2251
TCGA-A2-A4RY-01,-0.1955,0.2246,-1.5218,-1.8675,0.2322,-0.2912,0.5019,-1.4959,-0.2824,-1.1572,0.802
TCGA-A2-A4S0-01,2.8604,1.2458,-1.8124,-1.6349,-0.7269,0.9753,0.0503,-1.9174,-0.8202,-2.4421,1.5282
TCGA-A2-A4S1-01,-1.1337,-1.1786,-0.0463,-0.8117,-3.819,-1.5746,-5.4342,-1.0919,-1.2923,-0.4638,-1.9366
TCGA-A2-A4S2-01,0.4616,0.8982,-1.1464,-0.4494,-0.0605,0.2578,0.1934,-1.143,0.5713,-0.7787,0.9637
TCGA-A2-A4S3-01,-0.6429,-1.9471,1.9212,0.7956,-0.4732,0.5977,-0.3623,1.0931,-0.3215,1.3864,0.5331
TCGA-A7-A0CD-01,1.6582,1.3876,-0.0874,-0.16,0.6118,0.8751,0.8553,-0.2005,0.0678,-0.6063,1.3254
TCGA-A7-A0CE-01,1.5544,-1.466,1.2307,1.5244,-0.0661,-0.6274,-0.1558,1.1058,-1.4422,0.4956,-0.5611
TCGA-A7-A0CG-01,0.9491,0.0172,-0.6706,-0.5933,-0.2805,0.856,-1.0364,-0.051,-1.5734,-0.3268,-0.054
TCGA-A7-A0CH-01,-0.0755,0.947,-0.9193,-0.8018,-0.0506,1.1429,-0.5083,-0.6066,0.3281,-1.2768,1.2912
TCGA-A7-A0CJ-01,-0.2273,1.3403,0.805,1.4718,-0.7849,0.8482,-0.9139,-0.816,-0.0151,1.4181,1.387
TCGA-A7-A0D9-01,1.204,1.2449,-1.224,-1.1151,-0.4059,0.4409,-0.7111,-0.9416,0.575,-1.1325,-0.355
TCGA-A7-A0DA-01,-0.0346,-1.3457,0.6546,-0.6719,-0.4538,-2.0336,0.1803,0.4767,1.1984,-0.0582,-1.0884
TCGA-A7-A0DB-01,-0.1177,0.3031,-0.6204,0.1936,0.0422,0.8883,-0.9541,-0.5307,-0.4172,-0.2414,1.1637
TCGA-A7-A13D-01,-1.6276,-2.0537,1.3508,0.3788,0.2626,-1.8858,0.0457,1.411,0.2344,1.5057,-0.6323
TCGA-A7-A13E-01,0.4464,0.0733,0.0718,-0.2522,0.0542,-1.2712,0.6959,0.284,0.0121,0.8304,-1.433
TCGA-A7-A13F-01,1.9736,0.2495,0.8099,0.9719,0.3302,0.3279,0.131,1.0421,0.3472,1.3314,0.9231
TCGA-A7-A13G-01,-0.5883,0.9693,-1.4468,-1.3255,0.04,1.1733,-0.8496,-0.7202,-0.6686,-1.3972,0.7006
TCGA-A7-A13H-01,0.3041,0.2289,-1.4547,-1.6175,0.4071,0.5499,0.3212,-1.1869,0.1625,-1.0223,0.5684
TCGA-A7-A26E-01,-0.7222,1.1959,-0.8729,-0.2876,0.0185,0.9094,-0.4876,-0.0679,-0.4034,-0.9543,0.5191
TCGA-A7-A26F-01,-1.1975,-1.2239,-0.0908,1.0232,-0.6965,-1.5214,-1.1155,1.4796,0.9685,0.3227,-1.2205
TCGA-A7-A26G-01,-1.8419,-0.8508,1.1553,-0.2898,-1.9948,-1.5904,-0.8362,1.2136,0.4841,0.5186,-0.4262
TCGA-A7-A26H-01,-0.2954,0.9154,-1.2142,-0.6366,0.3339,0.8176,-0.0125,0.1961,1.1408,-0.9177,1.3102
TCGA-A7-A26I-01,-0.6032,-1.8705,0.7809,1.1472,-0.4001,-1.5162,-0.762,2.0119,1.1375,1.2941,-1.0338
TCGA-A7-A26J-01,-0.4013,0.6198,-0.0294,0.4936,0.0704,0.373,0.0875,0.9017,0.8777,-0.1037,0.9025
TCGA-A7-A2KD-01,0.573,1.203,1.206,0.0089,2.6147,0.5158,2.3749,0.4374,0.6362,0.7247,0.8898
TCGA-A7-A3IY-01,1.0083,0.2056,-0.4088,-0.3513,-1.2807,0.6473,-0.3773,-0.7664,-0.1863,-0.7452,1.0712
TCGA-A7-A3IZ-01,1.3149,1.4021,-0.3799,0.2767,0.2288,1.2186,0.3813,0.7481,-0.2969,-0.53,-1.1597
TCGA-A7-A3J0-01,0.7572,0.3586,-0.353,-0.5055,-1.1517,0.9115,0.3012,-0.1454,-2.1809,0.1011,1.7862
TCGA-A7-A3J1-01,-0.4114,0.3833,-1.1765,-1.0134,0.3899,0.5625,0.1927,-0.6075,-0.0626,-0.9412,-0.6132
TCGA-A7-A3RF-01,1.4542,1.1994,-0.7183,-0.9878,-2.3267,0.8157,-0.4998,-1.0471,-0.4419,-1.8255,-0.9533
TCGA-A7-A425-01,0.3656,-0.3267,-0.356,0.1013,-0.1978,0.4736,0.15,-0.3369,-0.1939,-0.0263,0.6806
TCGA-A7-A426-01,0.4757,0.1794,-0.8518,-1.1104,-0.363,0.211,0.2994,-1.0246,-0.8042,-1.022,1.0069
TCGA-A7-A4SA-01,-0.6333,-0.2834,0.0404,0.4543,0.3603,0.3111,0.2131,0.1682,0.0759,0.5556,-0.4358
TCGA-A7-A4SB-01,-0.67,-1.1399,0.1821,-1.1238,0.5183,0.277,0.5977,-0.5115,-0.2457,-0.3123,0.0465
TCGA-A7-A4SC-01,-0.2267,0.0233,-0.8479,-0.9729,0.9437,0.7384,0.395,-1.1912,-0.2064,-0.6554,-0.6403
TCGA-A7-A4SD-01,-0.617,-1.9073,0.5899,0.1242,-0.4357,-1.8105,-0.0881,1.0015,1.0316,0.8284,-1.6252
TCGA-A7-A4SE-01,-0.3998,-1.6004,0.5596,1.0374,-0.8413,-1.6095,0.1235,0.496,1.0545,1.2339,-0.8979
TCGA-A7-A4SF-01,-0.7974,-0.6228,0.713,0.4446,1.446,0.4978,1.9563,0.0206,-0.1438,1.0703,-1.1674
TCGA-A7-A56D-01,1.7479,-0.7427,1.0231,-0.3425,-0.1965,0.2565,0.0912,-0.331,1.8934,1.1393,-0.184
TCGA-A7-A5ZV-01,-1.3922,-2.5295,1.358,-0.2738,0.071,-2.3053,-0.3749,0.1999,-2.7518,0.0734,-1.7274
TCGA-A7-A5ZW-01,0.5688,0.7681,-1.2986,-1.3861,0.0787,0.2908,0.0831,-2.0993,0.5437,-1.561,1.1164
TCGA-A7-A5ZX-01,0.397,0.3073,-2.0849,-1.9018,0.522,0.0748,0.4874,-3.088,0.1494,-1.8815,0.6573
TCGA-A7-A6VV-01,-0.3124,-1.5131,0.95,0.8721,-0.4391,-1.9811,0.1176,0.9446,1.3158,1.5656,-1.0318
TCGA-A7-A6VW-01,0.4242,-2.0595,2.2704,1.7831,-0.7669,-1.1143,-0.0662,1.2319,1.2489,1.4738,-1.7622
TCGA-A7-A6VX-01,0.3109,0.7842,-0.254,0.1114,-0.2672,0.6428,-0.0517,0.187,1.5369,-0.2295,-0.9369
TCGA-A7-A6VY-01,-1.244,-1.8042,1.4688,0.9734,-1.5504,-1.8424,-0.7434,0.4611,1.4723,1.4824,-1.5379
TCGA-A8-A06N-01,-1.5874,0.6014,-0.5025,-0.5471,0.3034,1.1636,0.5931,-0.8636,-2.7766,-0.7882,-1.5326
TCGA-A8-A06O-01,-1.3285,0.2725,0.6556,1.0523,0.0496,0.8842,-0.6506,1.1567,0.4707,0.8787,1.059
TCGA-A8-A06P-01,1.5579,0.4129,-1.0317,-1.2296,-0.1738,0.3049,-0.3389,-0.9599,0.8518,-1.0685,1.3199
TCGA-A8-A06Q-01,-0.7381,-2.5409,0.7101,1.4411,-0.2589,0.4898,-1.1608,0.3451,-1.8628,0.2289,0.9234
TCGA-A8-A06R-01,-2.0376,-1.2716,1.2966,-0.0225,-1.1428,0.7098,-0.8315,-0.266,1.2606,0.6989,-0.9334
TCGA-A8-A06T-01,0.5519,1.918,-0.5117,-0.0675,0.3644,1.0347,-0.5665,-0.2068,0.4872,-0.6382,1.2861
TCGA-A8-A06U-01,-1.6559,-0.8504,0.3197,0.3058,0.4309,0.8375,-0.4322,0.17,0.4978,0.5871,0.3038
TCGA-A8-A06X-01,0.2995,-0.7543,1.5354,0.1994,-0.0067,0.9424,-0.6107,1.1465,0.5218,0.6057,-1.253
TCGA-A8-A06Y-01,-0.14,0.3493,-1.0172,-0.5366,0.1246,1.0928,-0.8864,-1.042,-0.2911,-0.9638,-0.5958
TCGA-A8-A06Z-01,-0.7857,0.6496,0.2536,0.6934,0.2742,0.7491,-0.1602,0.4779,-1.1618,-0.2973,0.6522
TCGA-A8-A075-01,-0.9426,-1.5812,0.4528,0.9834,-0.508,-0.1812,-0.642,1.386,0.3427,0.7962,-0.6723
TCGA-A8-A076-01,-0.0168,-0.4465,-0.0088,-0.0775,1.8776,0.1511,1.9401,0.3139,1.263,0.9782,-0.1376
TCGA-A8-A079-01,-0.1714,0.4947,1.4526,2.0653,-0.5161,1.0384,-0.4519,1.7843,-0.1348,1.1584,0.7484
TCGA-A8-A07B-01,-0.4248,0.5866,0.7408,1.0432,1.5069,0.3148,1.3237,0.873,-0.0326,-0.3031,0.2626
TCGA-A8-A07C-01,-0.972,-0.2484,1.2613,1.0469,-0.7951,-2.1182,0.0295,2.1174,-1.0858,0.6754,-1.4965
